run,step,H_p_bar_t,H_pt,KL_pt_ps,L_iso,L_iso_cov,L_iso_mean,batch_KL,grad_norm_total,infonce_acc,loss,lr,neg_cos,pos_cos,teacher_momentum,teacher_temp
simcse_repro_1epoch_s42,0,,,,,,,,,0.9219,1.038,3e-05,0.6041,0.8531,,
simcse_repro_1epoch_s42,10,,,,,,,,0.4476,1.0,0.0103,3e-05,0.3225,0.84,,
simcse_repro_1epoch_s42,20,,,,,,,,0.3124,1.0,0.0058,3e-05,0.2265,0.8212,,
simcse_repro_1epoch_s42,30,,,,,,,,0.1246,1.0,0.0021,2.99e-05,0.1834,0.8288,,
simcse_repro_1epoch_s42,40,,,,,,,,0.0853,1.0,0.0018,2.99e-05,0.1668,0.8256,,
simcse_repro_1epoch_s42,50,,,,,,,,0.0344,1.0,0.0009,2.99e-05,0.1442,0.822,,
simcse_repro_1epoch_s42,60,,,,,,,,0.1476,1.0,0.0025,2.99e-05,0.1237,0.8226,,
simcse_repro_1epoch_s42,70,,,,,,,,0.2309,1.0,0.0018,2.99e-05,0.1222,0.8102,,
simcse_repro_1epoch_s42,80,,,,,,,,0.1524,1.0,0.002,2.98e-05,0.1132,0.823,,
simcse_repro_1epoch_s42,90,,,,,,,,0.0519,1.0,0.001,2.98e-05,0.11,0.8185,,
simcse_repro_1epoch_s42,100,,,,,,,,0.0707,1.0,0.0007,2.98e-05,0.1097,0.8236,,
simcse_repro_1epoch_s42,110,,,,,,,,0.022,1.0,0.0005,2.98e-05,0.0974,0.8179,,
simcse_repro_1epoch_s42,120,,,,,,,,0.3938,1.0,0.0029,2.98e-05,0.0968,0.8209,,
simcse_repro_1epoch_s42,130,,,,,,,,0.0335,1.0,0.0005,2.97e-05,0.0975,0.8192,,
simcse_repro_1epoch_s42,140,,,,,,,,0.0543,1.0,0.0008,2.97e-05,0.1057,0.8183,,
simcse_repro_1epoch_s42,150,,,,,,,,0.1223,1.0,0.0013,2.97e-05,0.1164,0.8141,,
simcse_repro_1epoch_s42,160,,,,,,,,0.0552,1.0,0.0008,2.97e-05,0.095,0.8208,,
simcse_repro_1epoch_s42,170,,,,,,,,0.1209,1.0,0.0017,2.97e-05,0.0895,0.8082,,
simcse_repro_1epoch_s42,180,,,,,,,,0.5134,1.0,0.0023,2.96e-05,0.0918,0.8104,,
simcse_repro_1epoch_s42,190,,,,,,,,0.022,1.0,0.0004,2.96e-05,0.0954,0.8102,,
simcse_repro_1epoch_s42,200,,,,,,,,0.0241,1.0,0.0004,2.96e-05,0.0884,0.8073,,
simcse_repro_1epoch_s42,210,,,,,,,,0.1627,1.0,0.0021,2.96e-05,0.0764,0.8042,,
simcse_repro_1epoch_s42,220,,,,,,,,0.0452,1.0,0.0006,2.96e-05,0.0867,0.797,,
simcse_repro_1epoch_s42,230,,,,,,,,0.0421,1.0,0.0005,2.96e-05,0.0764,0.8039,,
simcse_repro_1epoch_s42,240,,,,,,,,0.024,1.0,0.0004,2.95e-05,0.0823,0.8056,,
simcse_repro_1epoch_s42,250,,,,,,,,0.0097,1.0,0.0002,2.95e-05,0.0753,0.8118,,
simcse_repro_1epoch_s42,260,,,,,,,,0.065,1.0,0.0009,2.95e-05,0.0728,0.8044,,
simcse_repro_1epoch_s42,270,,,,,,,,0.1081,1.0,0.0009,2.95e-05,0.0696,0.7976,,
simcse_repro_1epoch_s42,280,,,,,,,,0.2158,1.0,0.002,2.95e-05,0.0628,0.8018,,
simcse_repro_1epoch_s42,290,,,,,,,,0.0421,1.0,0.0004,2.94e-05,0.0725,0.8008,,
simcse_repro_1epoch_s42,300,,,,,,,,0.2367,1.0,0.0016,2.94e-05,0.0611,0.7955,,
simcse_repro_1epoch_s42,310,,,,,,,,0.01,1.0,0.0002,2.94e-05,0.0623,0.8061,,
simcse_repro_1epoch_s42,320,,,,,,,,0.0087,1.0,0.0002,2.94e-05,0.0596,0.8046,,
simcse_repro_1epoch_s42,330,,,,,,,,0.0509,1.0,0.0004,2.94e-05,0.055,0.8011,,
simcse_repro_1epoch_s42,340,,,,,,,,0.0545,1.0,0.0004,2.93e-05,0.0553,0.7962,,
simcse_repro_1epoch_s42,350,,,,,,,,0.142,1.0,0.0007,2.93e-05,0.056,0.7975,,
simcse_repro_1epoch_s42,360,,,,,,,,0.0081,1.0,0.0002,2.93e-05,0.0511,0.8025,,
simcse_repro_1epoch_s42,370,,,,,,,,0.0129,1.0,0.0003,2.93e-05,0.0534,0.8003,,
simcse_repro_1epoch_s42,380,,,,,,,,0.4156,1.0,0.0025,2.93e-05,0.0542,0.7986,,
simcse_repro_1epoch_s42,390,,,,,,,,0.0266,1.0,0.0003,2.92e-05,0.0568,0.7953,,
simcse_repro_1epoch_s42,400,,,,,,,,0.0097,1.0,0.0002,2.92e-05,0.0502,0.7973,,
simcse_repro_1epoch_s42,410,,,,,,,,0.0873,1.0,0.0004,2.92e-05,0.0513,0.8003,,
simcse_repro_1epoch_s42,420,,,,,,,,0.0748,1.0,0.0008,2.92e-05,0.0513,0.8001,,
simcse_repro_1epoch_s42,430,,,,,,,,0.011,1.0,0.0003,2.92e-05,0.0582,0.7951,,
simcse_repro_1epoch_s42,440,,,,,,,,0.0091,1.0,0.0002,2.91e-05,0.0422,0.8019,,
simcse_repro_1epoch_s42,450,,,,,,,,0.0147,1.0,0.0003,2.91e-05,0.0499,0.8021,,
simcse_repro_1epoch_s42,460,,,,,,,,0.1128,1.0,0.0006,2.91e-05,0.0436,0.796,,
simcse_repro_1epoch_s42,470,,,,,,,,0.0091,1.0,0.0002,2.91e-05,0.0492,0.794,,
simcse_repro_1epoch_s42,480,,,,,,,,0.019,1.0,0.0002,2.91e-05,0.0415,0.8074,,
simcse_repro_1epoch_s42,490,,,,,,,,0.0064,1.0,0.0002,2.9e-05,0.0444,0.8026,,
simcse_repro_1epoch_s42,500,,,,,,,,0.0075,1.0,0.0001,2.9e-05,0.0386,0.807,,
simcse_repro_1epoch_s42,510,,,,,,,,0.083,1.0,0.0008,2.9e-05,0.0384,0.8019,,
simcse_repro_1epoch_s42,520,,,,,,,,0.0739,1.0,0.0004,2.9e-05,0.0388,0.7934,,
simcse_repro_1epoch_s42,530,,,,,,,,0.0094,1.0,0.0002,2.9e-05,0.0428,0.7935,,
simcse_repro_1epoch_s42,540,,,,,,,,0.006,1.0,0.0001,2.89e-05,0.0379,0.7993,,
simcse_repro_1epoch_s42,550,,,,,,,,0.024,1.0,0.0002,2.89e-05,0.0358,0.7911,,
simcse_repro_1epoch_s42,560,,,,,,,,0.0216,1.0,0.0003,2.89e-05,0.0351,0.7892,,
simcse_repro_1epoch_s42,570,,,,,,,,0.0357,1.0,0.0004,2.89e-05,0.0349,0.8054,,
simcse_repro_1epoch_s42,580,,,,,,,,0.0318,1.0,0.0004,2.89e-05,0.0377,0.8018,,
simcse_repro_1epoch_s42,590,,,,,,,,0.0113,1.0,0.0002,2.88e-05,0.0331,0.787,,
simcse_repro_1epoch_s42,600,,,,,,,,0.0117,1.0,0.0002,2.88e-05,0.0412,0.7987,,
simcse_repro_1epoch_s42,610,,,,,,,,0.0379,1.0,0.0005,2.88e-05,0.0482,0.8039,,
simcse_repro_1epoch_s42,620,,,,,,,,0.0076,1.0,0.0002,2.88e-05,0.0542,0.7999,,
simcse_repro_1epoch_s42,630,,,,,,,,0.0065,1.0,0.0001,2.88e-05,0.0517,0.8031,,
simcse_repro_1epoch_s42,640,,,,,,,,0.0225,1.0,0.0003,2.88e-05,0.0457,0.8001,,
simcse_repro_1epoch_s42,650,,,,,,,,0.8894,1.0,0.0032,2.87e-05,0.0431,0.7996,,
simcse_repro_1epoch_s42,660,,,,,,,,0.0156,1.0,0.0003,2.87e-05,0.0421,0.7936,,
simcse_repro_1epoch_s42,670,,,,,,,,0.0121,1.0,0.0002,2.87e-05,0.0356,0.8004,,
simcse_repro_1epoch_s42,680,,,,,,,,0.0127,1.0,0.0002,2.87e-05,0.0378,0.7956,,
