number,value,datetime_start,datetime_complete,duration,params_loss.center_momentum,params_loss.teacher_temp,params_loss.uniform_push_lr,state
0,0.601,2026-09-02 11:20:47.632495,2026-09-02 11:25:14.006874,0 days 00:04:26.374379,0.9410254320361813,0.10529307397709922,0.16633781972149414,COMPLETE
1,0.6061,2026-09-02 11:20:47.683464,2026-09-02 11:25:12.532823,0 days 00:04:24.849359,0.8948172190349996,0.12543824730322256,0.556030141048366,COMPLETE
2,0.5978,2026-09-02 11:25:12.556338,2026-09-02 11:29:30.584090,0 days 00:04:18.027752,0.8150408107383154,0.0710506972894197,1.9672507178756755,COMPLETE
3,0.6015,2026-09-02 11:25:14.027684,2026-09-02 11:29:32.654373,0 days 00:04:18.626689,0.9327884194394935,0.14909714709959201,0.09005572306733543,COMPLETE
4,0.6029,2026-09-02 11:29:30.602648,2026-09-02 11:33:53.354198,0 days 00:04:22.751550,0.9104658869314396,0.12383994328863766,0.08142320602648755,COMPLETE
5,0.6055,2026-09-02 11:29:32.669322,2026-09-02 11:34:15.730409,0 days 00:04:43.061087,0.8253487710741684,0.12281053503995408,2.274588312628734,COMPLETE
6,0.6084,2026-09-02 11:33:53.367432,2026-09-02 11:38:09.948225,0 days 00:04:16.580793,0.8086721723343168,0.12096987917478451,0.1267645399317382,COMPLETE
7,0.6043,2026-09-02 11:34:15.753149,2026-09-02 11:38:36.000975,0 days 00:04:20.247826,0.9596031113059129,0.13557514017000977,1.5415870096875572,COMPLETE
8,0.5931,2026-09-02 11:38:09.971512,2026-09-02 11:42:25.001529,0 days 00:04:15.030017,0.988463662974082,0.06702232929796977,0.3598746866760454,COMPLETE
9,0.6098,2026-09-02 11:38:36.019003,2026-09-02 11:42:55.744397,0 days 00:04:19.725394,0.9887059214868905,0.13927333701871253,4.082787557571571,COMPLETE
10,0.6053,2026-09-02 11:42:25.020593,2026-09-02 11:46:40.188814,0 days 00:04:15.168221,0.8615648660909395,0.14326145316442318,1.337708438112433,COMPLETE
11,0.6016,2026-09-02 11:42:55.757149,2026-09-02 11:47:15.243963,0 days 00:04:19.486814,0.8612177377409119,0.0877758135994375,4.2769641586138585,COMPLETE
12,0.6052,2026-09-02 11:46:40.212774,2026-09-02 11:50:57.067485,0 days 00:04:16.854711,0.8632207405493297,0.10083700777777842,4.8227505642197075,COMPLETE
13,0.603,2026-09-02 11:47:15.264952,2026-09-02 11:51:34.998438,0 days 00:04:19.733486,0.8011428442833008,0.10577536505550851,0.3596515592888309,COMPLETE
14,0.6016,2026-09-02 11:50:57.087545,2026-09-02 11:55:11.476705,0 days 00:04:14.389160,0.8009692722349163,0.11005548207240134,0.5618355430935408,COMPLETE
15,0.6015,2026-09-02 11:51:35.018831,2026-09-02 11:55:54.766208,0 days 00:04:19.747377,0.989837760539733,0.13086979235925628,0.6568906261947314,COMPLETE
