number,value,datetime_start,datetime_complete,duration,params__ctrl_span_frac,params_loss.entropy_ctrl_delta,params_loss.entropy_ctrl_gain,params_loss.entropy_ctrl_start_frac,state
0,0.7327,2026-09-15 20:25:17.652176,2026-09-15 20:39:15.247664,0 days 00:13:57.595488,0.2738500016010341,0.34810159031239024,0.17023371029683185,0.5314966936363312,COMPLETE
1,0.7342,2026-09-15 20:25:17.655290,2026-09-15 20:38:13.804257,0 days 00:12:56.148967,0.2038123171357105,0.021694324740731363,0.08290593329900603,0.3333099336263542,COMPLETE
2,0.7157,2026-09-15 20:38:13.830506,2026-09-15 20:52:06.283331,0 days 00:13:52.452825,0.44741727104778406,0.6590420851597687,0.305557563866111,0.2094074705243738,COMPLETE
3,0.7276,2026-09-15 20:39:15.265096,2026-09-15 20:54:03.310492,0 days 00:14:48.045396,0.20572820118398294,0.1376729947882234,0.1151366289597636,0.37158247657294274,COMPLETE
4,0.7318,2026-09-15 20:52:06.295570,2026-09-15 21:06:46.962655,0 days 00:14:40.667085,0.5650318948719015,0.3042650237089749,0.16702877743203554,0.45683742023433804,COMPLETE
5,0.7369,2026-09-15 20:54:03.340889,2026-09-15 21:08:31.438486,0 days 00:14:28.097597,0.2696309665362241,0.030822900649892848,0.22619646056324286,0.5925520160241288,COMPLETE
6,0.737,2026-09-15 21:06:46.976044,2026-09-15 21:20:42.838015,0 days 00:13:55.861971,0.7171158483749831,0.14122929872762133,0.15400825426267098,0.2667902002022325,COMPLETE
7,0.7179,2026-09-15 21:08:31.452234,2026-09-15 21:22:42.821572,0 days 00:14:11.369338,0.1773191332273969,0.2862552595807074,0.8269669282499985,0.4019787477173443,COMPLETE
8,0.7379,2026-09-15 21:20:42.852776,2026-09-15 21:32:29.011939,0 days 00:11:46.159163,0.673929907619961,0.22384540942488756,0.5222927465515385,0.6340981707790125,COMPLETE
9,0.7329,2026-09-15 21:22:42.835364,2026-09-15 21:34:12.938787,0 days 00:11:30.103423,0.6731799279546437,0.03212204891166252,0.2999748649104253,0.4415368703077608,COMPLETE
