number,value,datetime_start,datetime_complete,duration,params_loss.koleo_lambda,params_train.grad_clip,params_train.head_lr,params_train.lr,state
0,0.6482,2026-09-02 20:11:54.055858,2026-09-02 20:16:19.991877,0 days 00:04:25.936019,0.287485788659466,3.063088450886561,0.00023073667589316587,6.603798048394447e-05,COMPLETE
1,0.6727,2026-09-02 20:11:54.063652,2026-09-02 20:16:22.104746,0 days 00:04:28.041094,0.29967648336511055,2.323323971780805,0.0008937335568068826,0.00041399980952502516,COMPLETE
2,0.6366,2026-09-02 20:16:20.019248,2026-09-02 20:20:43.190714,0 days 00:04:23.171466,0.0897359415514922,2.1967113620027603,0.0006820035354436552,0.0004065942632635802,COMPLETE
3,0.6133,2026-09-02 20:16:22.126383,2026-09-02 20:20:47.711552,0 days 00:04:25.585169,0.01664102396447422,1.641656023560258,0.000642798487304952,8.333375689153176e-05,COMPLETE
4,0.6631,2026-09-02 20:20:43.208642,2026-09-02 20:25:05.830805,0 days 00:04:22.622163,0.03741531389847986,1.1741676713055285,0.00015596278651212233,0.00044744364638001484,COMPLETE
5,0.624,2026-09-02 20:20:47.727570,2026-09-02 20:25:10.506950,0 days 00:04:22.779380,0.05834978194558893,3.0740667253435934,0.0002672400339651101,0.00010449996109667779,COMPLETE
6,0.6306,2026-09-02 20:25:05.852330,2026-09-02 20:29:22.950309,0 days 00:04:17.097979,0.07427885055824264,2.4564598666196265,0.00015399895051451453,0.00016557860416359686,COMPLETE
7,0.638,2026-09-02 20:25:10.524964,2026-09-02 20:29:27.615665,0 days 00:04:17.090701,0.19785719893846335,1.2609064793614486,0.0005979426870008858,0.00012005136333686577,COMPLETE
8,0.6135,2026-09-02 20:29:22.969222,2026-09-02 20:33:39.784845,0 days 00:04:16.815623,0.03121656751921793,4.542535949078235,0.00014071024327866693,3.432080281899156e-05,COMPLETE
9,0.6402,2026-09-02 20:29:27.634212,2026-09-02 20:33:44.916087,0 days 00:04:17.281875,0.042788906602266676,4.342578908235016,0.00024212587938575098,0.00018603538210452977,COMPLETE
10,0.6445,2026-09-02 20:33:39.808278,2026-09-02 20:37:56.553973,0 days 00:04:16.745695,0.04912363562288976,4.036519177430705,0.000461151475649925,0.0001782158653752799,COMPLETE
11,0.6567,2026-09-02 20:33:44.943871,2026-09-02 20:38:01.633133,0 days 00:04:16.689262,0.49006254897971735,5.967161466082972,0.00040648682384629946,3.115714504016968e-05,COMPLETE
12,0.0395,2026-09-02 20:37:56.566226,2026-09-02 20:42:13.184636,0 days 00:04:16.618410,0.4839748569723787,5.9903399620506494,0.000981591769251285,0.0004996743889645337,COMPLETE
13,0.6352,2026-09-02 20:38:01.647638,2026-09-02 20:42:19.671358,0 days 00:04:18.023720,0.01307226202555666,1.3656512319532403,0.0009294271975434489,0.0005209149247880452,COMPLETE
14,0.6253,2026-09-02 20:42:13.197087,2026-09-02 20:46:28.890627,0 days 00:04:15.693540,0.010309585474433228,1.0662744185645208,0.00010857871896102715,0.00034142328868177183,COMPLETE
15,0.6588,2026-09-02 20:42:19.698283,2026-09-02 20:46:35.836855,0 days 00:04:16.138572,0.1313139798130828,2.068846075094318,0.00010377020263399534,0.0002971550370558122,COMPLETE
16,0.6511,2026-09-02 20:46:28.909766,2026-09-02 20:51:08.644835,0 days 00:04:39.735069,0.1439617200580662,2.0878013751682927,0.0003448474016323333,0.00028486692208157526,COMPLETE
17,0.6552,2026-09-02 20:46:35.854933,2026-09-02 20:51:29.988902,0 days 00:04:54.133969,0.02649997919747229,2.9857341690533126,0.00017970134002671427,0.00026643549042257926,COMPLETE
18,0.6431,2026-09-02 20:51:08.667519,2026-09-02 20:55:36.095181,0 days 00:04:27.427662,0.02349138076802951,2.9774614272497217,0.00017943737869270944,0.00023148720870615108,COMPLETE
19,0.6604,2026-09-02 20:51:30.005498,2026-09-02 20:56:12.465389,0 days 00:04:42.459891,0.2464050582361139,3.7003105948554387,0.0003129445467015544,0.0003808710134498386,COMPLETE
20,0.6117,2026-09-02 20:55:36.114872,2026-09-02 21:00:31.960255,0 days 00:04:55.845383,0.2851019551969706,3.5481182339042263,0.00030387877296743056,0.00040787612384303196,COMPLETE
21,0.6153,2026-09-02 20:56:12.477076,2026-09-02 21:01:01.716910,0 days 00:04:49.239834,0.11010905333388332,1.694478076600962,0.0005287844249716344,0.0005394636889049982,COMPLETE
22,0.6466,2026-09-02 21:00:31.979057,2026-09-02 21:05:23.181085,0 days 00:04:51.202028,0.2998841104910894,5.069922146688415,0.00048184463821501685,0.00038862353951178247,COMPLETE
23,0.6709,2026-09-02 21:01:01.729712,2026-09-02 21:05:41.158626,0 days 00:04:39.428914,0.28332907325333007,5.144126773271783,0.0007636718000600723,0.00038288227404931343,COMPLETE
24,0.6584,2026-09-02 21:05:23.206675,2026-09-02 21:10:28.353011,0 days 00:05:05.146336,0.1856248712850312,2.6612921382641384,0.0007969805947290246,0.00023357922325909376,COMPLETE
25,0.6761,2026-09-02 21:05:41.176595,2026-09-02 21:10:34.011269,0 days 00:04:52.834674,0.16626719365858608,5.347728044168106,0.0007699437385146296,0.0002268255687808103,COMPLETE
26,0.6778,2026-09-02 21:10:28.374322,2026-09-02 21:16:37.855576,0 days 00:06:09.481254,0.41274143586730966,5.332369236694587,0.000759202594615594,0.00030727512078217585,COMPLETE
27,0.6822,2026-09-02 21:10:34.027742,2026-09-02 21:16:37.769007,0 days 00:06:03.741265,0.42271015828660585,5.211054806696876,0.0007656584425369425,0.0001394211135782923,COMPLETE
28,0.6663,2026-09-02 21:16:37.795839,2026-09-02 21:21:32.809350,0 days 00:04:55.013511,0.381664612538793,5.503410577183953,0.0007790666183000495,0.00012612525423869194,COMPLETE
29,0.6705,2026-09-02 21:16:37.874448,2026-09-02 21:21:06.829736,0 days 00:04:28.955288,0.3940425805626502,5.43467933519781,0.0007665582837553447,0.00013716022982277704,COMPLETE
